Model,BLEU-1,BLEU-2,BLEU-3,BLEU-4,CIDEr
Model1_VGG16_NoAttention,0.4806,0.315,0.2,0.129,0.2507
Model2_VGG16_Attention_CE,0.4726,0.321,0.2083,0.1343,0.2342
Model3_VGG16_Attention_SCST,0.594,0.4173,0.286,0.1909,0.4797
